127.0.0.1 - - [07/Nov/2022:09:41:09 +0900] "GET / HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [07/Nov/2022:09:41:11 +0900] "GET /a01_start/a16_tableProp.html HTTP/1.1" 200 4247
0:0:0:0:0:0:0:1 - - [07/Nov/2022:09:41:11 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:44:47 +0900] "GET /a03_form/a15_label_caption.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:44:47 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:44:54 +0900] "GET /a03_form/a15_label_caption.html?china=%EC%A7%9C%EC%9E%A5%EB%A9%B4 HTTP/1.1" 200 2460
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:44:57 +0900] "GET /a03_form/a15_label_caption.html? HTTP/1.1" 200 2460
0:0:0:0:0:0:0:1 - - [07/Nov/2022:11:06:44 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [07/Nov/2022:11:06:55 +0900] "GET /a03_form/a15_label_caption.html HTTP/1.1" 200 2916
0:0:0:0:0:0:0:1 - - [07/Nov/2022:11:08:05 +0900] "GET /a03_form/a15_label_caption.html HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [07/Nov/2022:11:18:45 +0900] "GET /z01_homework/a05_221104.html HTTP/1.1" 200 5308
0:0:0:0:0:0:0:1 - - [07/Nov/2022:11:18:45 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [07/Nov/2022:11:18:59 +0900] "GET /z01_homework/a05_221104.html HTTP/1.1" 200 5313
0:0:0:0:0:0:0:1 - - [07/Nov/2022:11:18:59 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [07/Nov/2022:11:21:16 +0900] "GET /z01_homework/a05_221104.html HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [07/Nov/2022:11:21:17 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [07/Nov/2022:11:21:19 +0900] "GET /z01_homework/a05_221104.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:11:21:19 +0900] "GET /z01_homework/a05_221104.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:11:21:20 +0900] "GET /z01_homework/a05_221104.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:11:21:20 +0900] "GET /z01_homework/a05_221104.html HTTP/1.1" 304 -
